               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029547,            0.018017,           0.0021034,             0.84655,             0.90231,              0.9376,             0.66774,            0.026366,           0.0068925,           0.0010272,             0.00307,             0.00307,             0.00307
                  37,            0.029372,            0.017715,            0.002295,             0.86802,             0.88229,             0.93748,             0.66821,            0.025918,           0.0067907,           0.0010817,            0.002872,            0.002872,            0.002872
                  38,            0.028553,            0.017225,           0.0026771,             0.81508,             0.87563,              0.9143,             0.64087,            0.027519,           0.0071663,           0.0010656,            0.002674,            0.002674,            0.002674
                  39,               0.028,            0.017112,           0.0023218,             0.85184,             0.90433,             0.94018,             0.67545,            0.025372,            0.006661,           0.0010725,            0.002476,            0.002476,            0.002476
                  40,            0.028887,            0.017402,           0.0018641,             0.83955,             0.91377,              0.9397,             0.66899,            0.025301,           0.0066943,          0.00095923,            0.002278,            0.002278,            0.002278
                  41,            0.027726,            0.017205,           0.0024485,             0.85766,             0.89519,             0.93769,             0.66398,            0.024522,           0.0067424,           0.0011258,             0.00208,             0.00208,             0.00208
                  42,            0.028828,            0.016831,           0.0020374,             0.86137,             0.90213,             0.94559,             0.68824,            0.024274,           0.0066333,           0.0010386,            0.001882,            0.001882,            0.001882
                  43,            0.027721,            0.016633,           0.0020126,             0.84871,              0.9287,             0.94961,             0.69254,            0.024229,           0.0065439,          0.00091815,            0.001684,            0.001684,            0.001684
                  44,            0.027574,            0.016966,           0.0022633,             0.84092,             0.92658,             0.94941,             0.69014,             0.02423,           0.0065691,          0.00089832,            0.001486,            0.001486,            0.001486
                  45,             0.02601,            0.016089,           0.0021841,             0.85531,             0.90048,             0.94686,             0.69235,            0.024337,           0.0065902,          0.00088359,            0.001288,            0.001288,            0.001288
                  46,            0.027019,            0.016512,           0.0019905,             0.85322,             0.91824,             0.94811,              0.6954,            0.023636,           0.0065023,          0.00085612,             0.00109,             0.00109,             0.00109
                  47,            0.026066,            0.016076,           0.0022132,             0.85719,             0.90574,             0.94441,             0.69819,            0.024233,           0.0065123,          0.00085241,            0.000892,            0.000892,            0.000892
                  48,            0.026104,            0.016615,           0.0016583,             0.84655,             0.91572,             0.94534,             0.69808,            0.023408,           0.0065018,          0.00081996,            0.000694,            0.000694,            0.000694
                  49,            0.026376,            0.016166,           0.0025777,             0.84037,             0.91779,             0.94583,             0.69913,            0.023391,             0.00652,          0.00079989,            0.000496,            0.000496,            0.000496
